Name,Chromatic,Clique,CR==CL,Ind,n,m,MinD,MaxD
"{Empty, 2}",1,1,True,2,2,0,0,0
"{Empty, 3}",1,1,True,3,3,0,0,0
"P2+K1",2,2,True,2,3,1,0,1
"{Path, 3}",2,2,True,2,3,2,1,2
"C3+K1",3,3,True,2,4,3,0,2
"ClawGraph",2,2,True,3,4,3,1,3
"DiamondGraph",3,3,True,2,4,5,2,3
"{Empty, 4}",1,1,True,4,4,0,0,0
"{LadderRung, 2}",2,2,True,2,4,2,1,1
"P2+2K1",2,2,True,3,4,1,0,1
"P3+K1",2,2,True,3,4,2,0,2
"{Path, 4}",2,2,True,2,4,3,1,2
"PawGraph",3,3,True,2,4,4,1,3
"SquareGraph",2,2,True,2,4,4,2,2
"{5, 10}",3,3,True,3,5,4,0,3
"{5, 31}",3,3,True,2,5,7,2,3
"2P2+K1",2,2,True,3,5,2,0,1
"BannerGraph",2,2,True,3,5,5,1,3
"BullGraph",3,3,True,3,5,5,1,3
"ButterflyGraph",3,3,True,2,5,6,2,4
"C3+2K1",3,3,True,3,5,3,0,2
"C3+P2",3,3,True,2,5,4,1,2
"C4+K1",2,2,True,3,5,4,0,2
"{CompleteBipartite, {2, 3}}",2,2,True,3,5,6,2,3
"{CompleteTripartite, {1, 1, 3}}",3,3,True,3,5,7,2,4
"CricketGraph",3,3,True,3,5,5,1,4
"{Cycle, 5}",3,2,False,2,5,5,2,2
"DartGraph",3,3,True,3,5,6,1,4
"{Empty, 5}",1,1,True,5,5,0,0,0
"ForkGraph",2,2,True,3,5,4,1,3
"GemGraph",3,3,True,2,5,7,2,4
"HouseGraph",3,3,True,2,5,6,2,3
"HouseXGraph",4,4,True,2,5,8,2,4
"{JohnsonSkeleton, 12}",4,4,True,2,5,9,3,4
"K1,3+K1",2,2,True,4,5,3,0,3
"K4-e+K1",3,3,True,3,5,5,0,3
"K4+K1",4,4,True,2,5,6,0,3
"KiteGraph",3,3,True,2,5,6,1,3
"{Lollipop, {4, 1}}",4,4,True,2,5,7,1,4
"P2+3K1",2,2,True,4,5,1,0,1
"P3+2K1",2,2,True,4,5,2,0,2
"P3+P2",2,2,True,3,5,3,1,2
"P4+K1",2,2,True,3,5,3,0,2
"{Path, 5}",2,2,True,3,5,4,1,2
"PentatopeGraph",5,5,True,1,5,10,4,4
"{Star, 5}",2,2,True,4,5,4,1,4
"{Tadpole, {3, 2}}",3,3,True,2,5,5,1,3
"{6, 12}",3,3,True,4,6,4,0,3
"{6, 13}",2,2,True,4,6,4,0,3
"{6, 14}",3,3,True,4,6,5,0,4
"{6, 16}",3,3,True,4,6,6,1,5
"{6, 19}",3,3,True,4,6,5,0,3
"{6, 21}",3,3,True,4,6,6,1,4
"{6, 24}",2,2,True,4,6,5,0,3
"{6, 25}",3,3,True,4,6,6,0,4
"{6, 28}",2,2,True,4,6,6,1,3
"{6, 29}",3,3,True,4,6,7,1,4
"{6, 32}",2,2,True,4,6,7,1,4
"{6, 33}",3,3,True,4,6,8,1,5
"{6, 39}",3,3,True,3,6,5,1,3
"{6, 41}",3,3,True,3,6,5,0,3
"{6, 42}",3,3,True,3,6,6,0,4
"{6, 44}",3,3,True,3,6,6,1,4
"{6, 45}",3,3,True,3,6,7,1,5
"{6, 49}",3,3,True,3,6,6,1,3
"{6, 51}",3,3,True,3,6,6,1,3
"{6, 53}",3,3,True,3,6,7,1,4
"{6, 55}",3,3,True,3,6,7,1,4
"{6, 57}",3,3,True,3,6,8,2,5
"{6, 59}",4,4,True,3,6,7,0,4
"{6, 60}",3,3,True,3,6,7,1,4
"{6, 61}",4,4,True,3,6,8,1,5
"{6, 65}",3,3,True,3,6,6,0,3
"{6, 66}",3,3,True,3,6,6,0,3
"{6, 67}",3,3,True,3,6,7,0,4
"{6, 69}",3,3,True,3,6,7,1,4
"{6, 70}",3,3,True,3,6,7,1,4
"{6, 71}",3,3,True,3,6,8,1,5
"{6, 72}",4,4,True,3,6,8,1,4
"{6, 73}",4,4,True,3,6,8,0,4
"{6, 74}",3,3,True,3,6,8,1,4
"{6, 75}",4,4,True,3,6,9,1,5
"{6, 76}",3,2,False,3,6,7,2,3
"{6, 77}",3,3,True,3,6,8,2,4
"{6, 78}",3,3,True,3,6,8,1,4
"{6, 79}",3,3,True,3,6,8,1,4
"{6, 80}",3,3,True,3,6,8,2,4
"{6, 81}",3,3,True,3,6,9,2,5
"{6, 82}",3,3,True,3,6,9,2,4
"{6, 83}",4,4,True,3,6,10,2,5
"{6, 84}",3,3,True,3,6,7,1,3
"{6, 86}",3,3,True,3,6,7,2,3
"{6, 88}",3,3,True,3,6,7,1,3
"{6, 90}",3,3,True,3,6,8,1,4
"{6, 92}",3,3,True,3,6,8,2,4
"{6, 95}",3,3,True,3,6,9,2,4
"{6, 96}",4,4,True,3,6,10,2,5
"{6, 97}",3,3,True,3,6,7,0,3
"{6, 99}",2,2,True,3,6,7,1,3
"{6, 100}",3,3,True,3,6,8,1,4
"{6, 101}",3,3,True,3,6,9,1,5
"{6, 102}",4,4,True,3,6,9,1,4
"{6, 103}",4,4,True,3,6,9,0,4
"{6, 104}",3,3,True,3,6,9,1,4
"{6, 105}",4,4,True,3,6,10,1,5
"{6, 106}",3,3,True,3,6,8,1,3
"{6, 108}",3,3,True,3,6,9,2,4
"{6, 109}",3,3,True,3,6,9,2,4
"{6, 110}",3,3,True,3,6,10,2,5
"{6, 111}",4,4,True,3,6,11,2,5
"{6, 112}",3,3,True,3,6,10,2,4
"{6, 114}",3,3,True,3,6,10,3,4
"{6, 120}",3,3,True,3,6,7,1,3
"{6, 122}",3,3,True,2,6,8,2,4
"{6, 123}",4,4,True,2,6,9,2,5
"{6, 124}",4,4,True,2,6,9,2,4
"{6, 125}",3,3,True,2,6,8,2,3
"{6, 127}",4,4,True,2,6,9,1,4
"{6, 128}",3,3,True,2,6,9,2,4
"{6, 129}",4,4,True,2,6,10,2,5
"{6, 130}",3,3,True,2,6,10,3,4
"{6, 133}",4,4,True,2,6,10,1,4
"{6, 135}",4,4,True,2,6,10,2,4
"{6, 136}",4,4,True,2,6,10,2,4
"{6, 137}",4,4,True,2,6,11,2,5
"{6, 138}",5,5,True,2,6,12,2,5
"{6, 139}",3,3,True,2,6,8,2,3
